date;open;high;low;close;range;pct_change;rel_volatility
2024-12-07;2,043e-05;2,269e-05;1,919e-05;2,168e-05;3,5e-06;6,118453;0,167144
2024-12-11;2,166e-05;2,803e-05;2,117e-05;2,357e-05;6,86e-06;8,818098;0,278862
2024-12-15;2,355e-05;2,565e-05;2,172e-05;2,329e-05;3,93e-06;-1,104034;0,165928
2024-12-19;2,328e-05;2,465e-05;1,931e-05;1,943e-05;5,34e-06;-16,537801;0,242948
2024-12-23;1,938e-05;1,968e-05;1,454e-05;1,78e-05;5,14e-06;-8,152735;0,300409
2024-12-27;1,783e-05;1,941e-05;1,712e-05;1,737e-05;2,29e-06;-2,579921;0,125376
2024-12-31;1,738e-05;1,909e-05;1,733e-05;1,831e-05;1,76e-06;5,350978;0,09665
2025-01-04;1,835e-05;2,166e-05;1,779e-05;2,153e-05;3,87e-06;17,3297;0,196198
2025-01-08;2,157e-05;2,17e-05;1,856e-05;1,865e-05;3,14e-06;-13,53732;0,155986
2025-01-12;1,859e-05;1,885e-05;1,672e-05;1,803e-05;2,13e-06;-3,012372;0,119764
2025-01-16;1,801e-05;1,917e-05;1,583e-05;1,916e-05;3,34e-06;6,385341;0,190857
2025-01-20;1,913e-05;2,09e-05;1,547e-05;1,609e-05;5,43e-06;-15,89127;0,298598
2025-01-24;1,605e-05;1,744e-05;1,439e-05;1,533e-05;3,05e-06;-4,485981;0,191643
2025-01-28;1,533e-05;1,599e-05;1,225e-05;1,307e-05;3,74e-06;-14,742335;0,264873
2025-02-01;1,311e-05;1,465e-05;1,14e-05;1,385e-05;3,25e-06;5,644546;0,24952
2025-02-05;1,386e-05;1,425e-05;8,7e-06;1,02e-05;5,55e-06;-26,406926;0,48366
2025-02-09;1,018e-05;1,039e-05;8,49e-06;9,6e-06;1,9e-06;-5,697446;0,201271
2025-02-13;9,58e-06;1,048e-05;8,99e-06;1,007e-05;1,49e-06;5,114823;0,153056
2025-02-17;1,008e-05;1,07e-05;9,5e-06;9,68e-06;1,2e-06;-3,968254;0,118812
2025-02-21;9,69e-06;1,053e-05;8,98e-06;9,65e-06;1,55e-06;-0,412797;0,158893
2025-02-25;9,64e-06;1,011e-05;7,84e-06;7,87e-06;2,27e-06;-18,360996;0,252925
2025-03-01;7,9e-06;8,57e-06;7,3e-06;7,91e-06;1,27e-06;0,126582;0,16005
2025-03-05;7,92e-06;8,92e-06;6,38e-06;6,99e-06;2,54e-06;-11,742424;0,332026
2025-03-09;6,97e-06;7,35e-06;6,45e-06;6,67e-06;9e-07;-4,304161;0,130435
2025-03-13;6,67e-06;6,95e-06;5,32e-06;6,94e-06;1,63e-06;4,047976;0,265689
2025-03-17;6,94e-06;7,39e-06;6,49e-06;6,59e-06;9e-07;-5,043228;0,129683
2025-03-21;6,58e-06;7,75e-06;6,58e-06;7,63e-06;1,17e-06;15,957447;0,163294
2025-03-25;7,67e-06;8,12e-06;7,04e-06;7,95e-06;1,08e-06;3,650587;0,14248
2025-03-29;7,96e-06;9,15e-06;7,64e-06;7,78e-06;1,51e-06;-2,261307;0,179869
2025-04-02;7,81e-06;7,87e-06;6,81e-06;7,72e-06;1,06e-06;-1,152369;0,144414
2025-04-06;7,72e-06;7,87e-06;6,41e-06;7,07e-06;1,46e-06;-8,419689;0,204482
2025-04-10;7,06e-06;7,11e-06;5,79e-06;6,95e-06;1,32e-06;-1,558074;0,204651
2025-04-14;6,96e-06;7,66e-06;6,54e-06;7,26e-06;1,12e-06;4,310345;0,157746
2025-04-18;7,26e-06;7,69e-06;6,93e-06;7,24e-06;7,6e-07;-0,275482;0,103967
2025-04-22;7,23e-06;8,01e-06;7,02e-06;7,73e-06;9,9e-07;6,915629;0,131737
2025-04-26;7,74e-06;9,27e-06;7,69e-06;9,06e-06;1,58e-06;17,054264;0,186321
2025-04-30;9,06e-06;9,74e-06;8,6e-06;8,85e-06;1,14e-06;-2,317881;0,124318
2025-05-04;8,87e-06;9,1e-06;8,14e-06;8,21e-06;9,6e-07;-7,440812;0,111369
2025-05-08;8,19e-06;8,33e-06;7,64e-06;8,25e-06;6,9e-07;0,732601;0,086412
